GEOID,B01003_001E_x,B02001_002E_x,B01001_026E_x,B01003_001M_x,B02001_002T,B01001_026T,B01003_001E_y,B01003_001M_y,B02001_002E_y,B02001_002M,B01001_026E_y,B01001_026M,state,county,tract
10003012600,2754.9261643444374,2678.911848353899,1573.707153719863,231.93663612260036,278.36619942938745,205.65896026531783,2996,523,2742,497,1645,345,10,003,012600
10003012700,4436.098800282287,3696.2151736648075,2385.1371166860717,577.5533402415272,496.7957288930771,339.4114934318096,4025,499,3408,518,2153,376,10,003,012700
10003012900,4755.133842095421,3229.301227206199,2565.8815496676566,875.6258318130843,695.5998113942837,505.16076569338856,4478,525,3074,450,2517,340,10,003,012900
10003013000,1823.0,1556.9864801864803,934.0219114219115,310.1234255972194,385.6372514931451,189.79420584641667,1975,258,1587,249,936,147,10,003,013000
10003013100,2624.586153846154,2259.359274707945,1325.6227604057965,307.73830197449115,374.37273602447675,196.78326697185602,2292,329,2051,299,1215,222,10,003,013100
10003013200,2740.408290209816,2459.101830483094,1236.008784285261,251.39807636673518,299.93995800623,174.39954991361776,2746,365,1654,347,1497,288,10,003,013200
10003013300,1864.2282608695652,1726.651210715613,876.3003023826587,126.77113217767962,179.1548512256188,112.1045359315335,1819,270,1748,269,885,156,10,003,013300
10003013400,2594.3238993710693,2333.2974548106927,1500.4039141523926,206.8505319908981,260.97888839642366,191.22034975581064,2146,349,1814,372,1065,187,10,003,013400
10003013501,6586.701425614847,6025.323164503703,3385.7164230450894,675.4090360705219,757.1844927291912,494.94741590878266,6988,805,6312,759,3845,448,10,003,013501
10003013505,3159.209514968157,2900.293583645009,1614.4169835443336,363.1268520615498,455.821915255057,242.93188833109815,3212,461,2652,411,1597,270,10,003,013505
10003013506,4838.575757575758,4437.04618724559,2443.84184531886,275.0329875351665,365.2393100257196,243.7296579971806,4334,669,3681,672,2232,463,10,003,013506
10003013507,1812.0526315789475,1497.1546985521725,884.748648716584,400.8372531420843,306.07336235895167,178.16473703519875,1709,199,1491,262,868,161,10,003,013507
10003013508,5547.279057253551,4581.594101461796,2706.3220711275994,643.2479818899216,677.7212992738586,381.6304406795617,5948,1208,4643,1192,3298,889,10,003,013508
10003013604,4110.176583677785,3710.4166732672657,2337.8821856137556,445.28073370045036,512.3308758553937,326.5769562811799,4321,583,3686,490,2125,264,10,003,013604
10003013607,5847.506873803477,4689.695010046536,3137.892065857986,479.78714698180465,541.2744630066421,404.99813397689064,5930,713,4486,637,3123,505,10,003,013607
